timestamp,I_A,T_pneu,V_V,SOC_pct,session_id,driver_id,source_file,label_classe
0.0,89.328,42.501,31.984,77.56,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
1.0,70.824,47.8,49.342,92.9,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
2.0,69.718,52.895,62.373,78.99,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
3.0,85.393,46.484,41.756,81.6,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
4.0,100.477,45.49,26.281,90.69,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
5.0,93.446,55.05,65.381,96.63,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
6.0,68.839,49.892,38.962,92.52,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
7.0,76.036,56.364,36.347,92.16,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
8.0,76.085,51.069,61.971,85.0,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
9.0,79.058,52.693,65.15,78.52,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
10.0,94.278,47.385,43.119,83.98,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
11.0,70.232,52.753,29.402,89.86,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
12.0,81.458,55.48,51.504,91.96,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
13.0,66.769,37.115,30.425,92.97,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
14.0,80.038,50.013,29.138,95.93,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
15.0,100.965,51.175,66.574,87.1,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
16.0,101.879,46.432,36.717,89.1,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
17.0,56.983,55.296,51.16,79.0,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
18.0,93.598,49.46,59.936,92.74,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
19.0,82.069,41.326,27.328,88.73,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
20.0,63.463,39.735,27.576,83.13,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
21.0,98.946,45.238,49.685,86.7,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
22.0,74.663,56.706,40.76,76.2,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
23.0,72.715,50.946,34.282,78.34,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
24.0,64.96,55.024,58.955,77.29,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
25.0,74.93,48.075,44.063,96.57,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
26.0,77.984,53.751,63.397,82.0,conservador_sessao_1,DRV_C02,telemetria_conservador_1.csv,conservador
